cities,Boston,Boulder,Chicago,Disneyland,Miami,New Orleans,New York,Portland,San Francisco,Seattle
Boston,0,2000,982,2998,1491,1548,215,3088,3100,3044
Boulder,2000,0,1130,1023,2090,1307,1791,1241,1221,1315
Chicago,982,1130,0,2010,1378,926,790,2119,2131,2064
Disneyland,2998,1023,2010,0,2716,1882,2786,989,408,1162
Miami,1491,2090,1378,2716,0,864,1278,3258,3113,3299
New Orleans,1548,1307,926,1882,864,0,1304,2509,2233,2583
New York,215,1791,790,2786,1278,1304,0,2984,2995,2852
Portland,3088,1241,2119,989,3258,2509,2984,0,635,173
San Francisco,3100,1221,2131,408,3113,2233,2995,635,0,807
Seattle,3044,1315,2064,1162,3299,2583,2852,173,807,0
